,composition,lattice_constant,E_formation,E_above_hull
0,Ni2ScAl,6.023562899,-0.636347719,0.002126738
1,Ti2RuPb,6.523741188,-0.023197992,0.41365819
2,Pd2HfAl,6.368780247,-0.823800391,0.006330287
3,Ni2VGa,5.780086284,-0.286503021,0.029121574
4,Ir2HfTl,6.565225734,-0.249376458,0.407235268
5,Au2HfSb,6.845604654,-0.133076293,0.29179465
6,Ir2HfIn,6.511194909,-0.585693666,0.08134912
7,Os2ScSn,6.436722481,-0.131949975,0.21308869
8,Cu2YSb,6.669420307,-0.273685423,0.310351295
9,Ir2HfAl,6.338691925,-0.914762079,0.078860023
10,Rh2HfB,6.058574459,-0.237156536,0.678452761
11,Sc2MoBi,6.878324475,-0.054632049,0.360158034
12,Cd2PtSn,6.842929106,-0.005183162,0.333412398
13,Ti2CrB,5.812197872,-0.054390929,0.422332441
14,Au2PtIn,6.547299938,-0.101415383,0.158790091
15,Ni2AgAl,5.910707359,-0.183896212,0.212668981
16,Au2TiPb,6.765910706,-0.010998028,0.31365416
17,Pt2TaAs,6.434778118,-0.101899274,0.562185294
18,Pt2NbSi,6.347261927,-0.274774114,0.482753203
19,Au2ScSn,6.784740871,-0.593007465,0.068850196
20,Rh2ScGe,6.252096577,-0.846781973,0.009954572
21,Rh2TiGe,6.145269237,-0.686117157,0.114312698
22,Os2TaGa,6.2355159,-0.302980066,0.00074835
23,Ru2ScAl,6.223937981,-0.567128626,0.031232953
24,Au2ScAs,6.627552404,-0.404450358,0.288353411
25,Rh2HfAs,6.344676134,-0.577059485,0.258091885
26,Au2YAl,6.804449222,-0.706985516,0.067116128
27,Pt2CuGa,6.122639157,-0.432126939,0.053260284
28,Ni2PtIn,6.087592805,-0.18356629,0.077210939
29,Pt2ScAs,6.441681081,-0.688092055,0.31796822
30,Ni2HfSi,5.967745436,-0.605759595,0.193164779
31,Os2ScGe,6.239162445,-0.141590445,0.330173045
32,Ru2ZrPb,6.550806575,-0.249087048,0.072426825
33,Ir2TiGe,6.206576442,-0.406902915,0.22197541
34,Ni2TaIn,6.16062455,-0.179868478,0.077022031
35,Sc2ZrSb,7.013798632,-0.277969604,0.311157326
36,Au2NiAl,6.230494925,-0.254444668,0.082997123
37,Au2HfSi,6.613644866,-0.16431907,0.303125727
38,Rh2TiGa,6.12676939,-0.863732165,0.031199895
39,Ti2RuB,5.930130269,-0.174948752,0.645155312
40,Ir2NbAl,6.290790272,-0.506307153,0.222453033
41,Rh2NiAs,5.998959079,-0.166310916,0.19211928
42,Rh2CuSn,6.209185137,-0.384475884,0.000508391
43,Rh2TaGe,6.270713145,-0.341954126,0.230184973
44,Ru2VGa,6.008473214,-0.458032716,7.16767E-05
45,Pd2YSn,6.749657047,-0.893324028,0.01898882
46,Ti2ScGa,6.537188016,-0.116256254,0.257319391
47,Sc2NiSb,6.76212799,-0.507410541,0.264924552
48,Rh2ZrZn,6.315824834,-0.77495551,0
49,Rh2CuIn,6.226542469,-0.179175465,0.03731689
50,Rh2HfTl,6.501941826,-0.503638398,0.147166853
51,Ru2TiPb,6.373897592,-0.203551548,0.190699973
52,Ti2ZrBi,6.777468679,-0.065689803,0.160664254
53,Co2ScAl,5.934665217,-0.516874354,0.001651115
54,Sc2NiB,6.166860995,-0.21982625,0.364119785
55,Au2ZrTl,6.814829229,-0.227224701,0.203851851
56,Ti2NiSb,6.392314994,-0.266052673,0.254808428
57,Ni2TiZn,5.821603932,-0.415784006,0.003903718
58,Ti2ZrSb,6.677396167,-0.305198376,0.186946158
59,Cu2TiGa,5.992193551,-0.24737355,0.010355694
60,Ru2HfSn,6.43653904,-0.65579414,0.000260542
61,Ti2CuIn,6.442397549,-0.062343322,0.113135114
62,Mn2MoSi,5.76883402,-0.272628896,0.044957304
63,Au2YAs,6.854325504,-0.521169868,0.256721548
64,Pd2AgSb,6.470044409,-0.296480913,0.046703336
65,Ru2HfB,6.023776029,-0.010752094,0.585095693
66,Rh2PtAs,6.178699014,-0.018475811,0.339668508
67,Ir2HfSi,6.318304037,-0.544751055,0.399579274
68,Au2TiZn,6.422770452,-0.360015138,0.000145271
69,Rh2NbAs,6.290894716,-0.149270096,0.409234387
70,Ni2TiGa,5.876435744,-0.561299502,0.000176469
71,Rh2ZrBi,6.6599106,-0.425399176,0.204626479
72,Ti2RuTl,6.478883743,-0.048924318,0.383318493
73,Ir2TaGe,6.3490618,-0.087813339,0.502702648
74,Sc2AgAl,6.792361665,-0.358598404,0.010342945
75,Pd2ZrSi,6.365721681,-0.634807386,0.266333646
76,Cu2ScBi,6.608547237,-0.075048452,0.266619325
77,Ti2RuGa,6.237997659,-0.485527068,0.160505785
78,Au2HfGa,6.640298288,-0.394353933,0.072234876
79,Rh2WGa,6.195980746,-0.097302681,0.341025301
80,Ni2PtGe,5.927748255,-0.177740929,0.145045821
81,Ti2RuIn,6.432919575,-0.234269519,0.253683895
82,Pt2YTl,6.817099411,-0.68222848,0.135337314
83,Ti2CrAs,6.121383343,-0.271007746,0.395749656
84,Pt2TiAl,6.258077237,-0.937391836,0.059970436
85,Pt2NiSn,6.312661192,-0.275072067,0.111564743
86,Os2HfAl,6.292504734,-0.508720661,0.056381296
87,Cd2ScBi,7.255114584,-0.00013815,0.341529628
88,Cu2NiGa,5.760882227,-0.105626676,0.100517096
89,Os2HfGe,6.303795479,-0.28040272,0.164204939
90,Pd2HfSb,6.60630863,-0.577567377,0.164871973
91,Ir2TiGa,6.166748802,-0.680357845,0.113815898
92,Pd2PtBi,6.543605826,-0.157481506,0.065852355
93,Ir2HfGa,6.354686437,-0.70849906,0.110798758
94,Pt2TaGe,6.445284296,-0.242626711,0.351753802
95,Ni2AgSn,6.155332806,-0.080416911,0.124860477
96,Rh2TiB,5.837110443,-0.337898551,0.444986308
97,Sc2MoSb,6.747013219,-0.257379061,0.331747445
98,Ti2WIn,6.49314939,-0.092826377,0.065898968
99,Ti2CrGe,6.145350442,-0.321305141,0.199050292
100,Rh2YAs,6.486029165,-0.55938476,0.31171529
101,Cu2YPb,6.717282182,-0.188040371,0.128417227
102,Pt2AgSi,6.242353101,-0.115447073,0.426534528
103,Ti2ZrAs,6.454690817,-0.304878063,0.456113797
104,Pd2CuSi,6.000711027,-0.401092836,0.117144336
105,Ti2MoSn,6.486374614,-0.299434751,0.034078457
106,Cu2AgAl,6.018465336,-0.056942567,0.103141582
107,Pt2CuSn,6.363598691,-0.317860822,0.081193994
108,Ti2MoGa,6.303369324,-0.373591793,0.048824713
109,Rh2NbZn,6.218405246,-0.47439489,0.049834382
110,Pt2ScIn,6.555314918,-0.921728826,0.004025302
111,Os2TiAl,6.108500198,-0.595766668,0.000863782
112,Ni2ZrTl,6.331093452,-0.204764774,0.148003898
113,Cu2NiSi,5.661719481,-0.066022081,0.186549414
114,Sc2PtPb,6.879876958,-0.68466666,0.133730079
115,Pd2TaSi,6.251861206,-0.214980491,0.395830243
116,Ni2AgGe,5.975974293,-0.007571721,0.231775603
117,Cu2ScZn,6.110043474,-0.248592684,0.022685627
118,Ir2TiZn,6.116586588,-0.705481568,0.000176842
119,Sc2RuGa,6.560690736,-0.599756426,0.060575728
120,Pt2ScSb,6.611815383,-0.777787687,0.244691947
121,Pd2TiAl,6.194014341,-0.763689086,0.004979895
122,Ti2HfSn,6.690581554,-0.21543527,0.123921542
123,Sc2MoGa,6.652691168,-0.177228806,0.189922723
124,Ti2CoAl,6.157696755,-0.266835974,0.216149049
125,Sc2WGa,6.662488827,-0.030499426,0.336652103
126,Sc2RuGe,6.545632346,-0.621714759,0.113686193
127,Sc2CoTl,6.746942923,-0.169217954,0.144669555
128,Cu2ScSb,6.448835397,-0.20648612,0.264708073
129,Pt2CoAl,6.052578643,-0.41837815,0.233234128
130,Ti2CuSi,6.137435294,-0.381061218,0.185442278
131,Ir2ZrTl,6.602435587,-0.207180186,0.364127224
132,Os2TiGe,6.118389369,-0.37532213,0.023704587
133,Ru2ScGe,6.207341287,-0.534794578,0.058368407
134,Ti2ZrAl,6.598548809,-0.153016002,0.165742509
135,Ag2ScBi,6.935871441,-0.096875471,0.244792306
136,Cu2PtGa,6.006156643,-0.199370446,0.129319959
137,Ag2PtGa,6.448033774,-0.00858992,0.320100485
138,Ag2TiIn,6.554802918,-0.002598782,0.094936916
139,Ni2ZrGa,6.109050437,-0.539517336,0.045448813
140,Sc2NiGa,6.534544294,-0.543835176,0.029871016
141,Rh2VSn,6.272404709,-0.282031834,0.178009856
142,Pd2CuSb,6.353292772,-0.312456244,0.031802985
143,Pd2NbPb,6.574804459,-0.034123698,0.284217602
144,Pt2TiTl,6.493171527,-0.354761202,0.337362895
145,Ti2AgGe,6.411489777,-0.220707513,0.282446117
146,Cd2ScSn,7.06334344,-0.05362156,0.289857282
147,Ru2MoAl,6.125962975,-0.308256715,0.05785831
148,Cu2YTl,6.661133854,-0.180324893,0.062116254
149,Pt2AgSn,6.492007533,-0.245764416,0.115952095
150,Ru2ZrZn,6.300727219,-0.272147015,0.098185968
151,Cd2ScGa,6.822262674,-0.09552791,0.232456876
152,V2CuSi,5.878832508,-0.076475624,0.326882656
153,Ni2ZrGe,6.105436343,-0.504910921,0.144721036
154,Au2HfIn,6.732657079,-0.390342799,0.05220967
155,Sc2WSn,6.797802058,-0.100800839,0.379156909
156,Sc2NiGe,6.519929366,-0.621587256,0.11845724
157,Pd2PtIn,6.372295611,-0.3667488,0.067635452
158,Rh2ScSi,6.163696971,-0.936624905,0.027006921
159,Au2ScAl,6.556757395,-0.702982409,0.003909916
160,Ir2TiAl,6.15414663,-0.906117361,0.08270787
161,Ru2CuGe,5.984493292,-0.006535144,0.138716565
162,Ni2HfGa,6.06360121,-0.56684999,0.004567826
163,Cd2YZn,6.884769318,-0.190797369,0.135596615
164,Mn2RuSi,5.729064637,-0.039441308,0.354937054
165,Ni2PtAs,5.957683739,-0.061956941,0.186753886
166,Ru2NbSn,6.396110918,-0.246958302,0.045059968
167,Pt2YAl,6.617912772,-0.988529401,0.191540218
168,Cu2TiSn,6.225833934,-0.098163698,0.116801925
169,Sc2NiIn,6.766828062,-0.374818378,0.13323773
170,Os2MoAl,6.153079736,-0.13180849,0.109331081
171,Ag2PtIn,6.508567794,-0.046866746,0.213338728
172,Ir2ScTl,6.512254594,-0.296939788,0.291159736
173,Pt2CuAl,6.085958926,-0.665727705,0.041080595
174,Pd2ZrGa,6.46152258,-0.723261299,0.032957254
175,Rh2AgAl,6.172654455,-0.303102172,0.245499691
176,Pd2TiSn,6.410549009,-0.630465988,0.013108687
177,Sc2MoGe,6.613004662,-0.256524214,0.309140943
178,Ti2TaGe,6.372338297,-0.290333193,0.199717668
179,V2FeSi,5.818151616,-0.140894191,0.338263856
180,Rh2YPb,6.721387067,-0.542677789,0.015479503
181,Ti2CrZn,6.141768351,-0.066666567,0.113086611
182,Ru2NiAs,5.951098825,-0.017138806,0.162268818
183,Pt2VAl,6.176585288,-0.566473575,0.230110429
184,Os2ZrSi,6.263193463,-0.358765066,0.269164589
185,Ti2ZrPb,6.774614113,-0.026746982,0.128334253
186,V2PtSb,6.321175074,-0.050806346,0.373243044
187,Fe2TaAl,5.884082346,-0.453228463,0.001244659
188,Ti2AgSn,6.595727262,-0.15172747,0.152960898
189,Sc2CuBi,6.939816011,-0.278312316,0.212715878
190,Pt2MoZn,6.291632462,-0.086040475,0.33512663
191,Ti2MnSb,6.342605317,-0.082420047,0.357040808
192,Fe2TiSn,6.015574353,-0.310433873,0.000393535
193,Pt2ZrZn,6.469397767,-0.825948658,0.036794275
194,Ru2YPb,6.69820699,-0.050364674,0.217874551
195,Sc2CuB,6.223666053,-0.112156045,0.347772877
196,Ru2VZn,5.996794584,-0.206805188,0.028709385
197,Mn2TaSb,6.127021573,-0.049188958,0.119333961
198,Au2ScTl,6.77670518,-0.418358435,0.193832916
199,Cd2YSn,7.235804168,-0.177846858,0.232396144
200,Sc2NiSn,6.747979642,-0.513794704,0.144764937
201,Cu2YSn,6.600082644,-0.387317245,0.098394887
202,Ru2HfTl,6.497371718,-0.134775893,0.271725441
203,Pd2TaSn,6.480211216,-0.264975689,0.197654532
204,Ni2ScZn,5.993507793,-0.424554166,0.019310642
205,Sc2RuSb,6.723405186,-0.518212901,0.21996144
206,Ru2TaGa,6.195119294,-0.573611366,5.73675E-05
207,Pd2ScSn,6.534747253,-0.898953888,0.004803522
208,Pt2ZrSn,6.657679334,-0.783604134,0.188348113
209,Sc2NiAl,6.566295884,-0.423678263,0.084724717
210,Ag2ScIn,6.690551768,-0.305570578,0.014210242
211,Pd2HfPb,6.648591482,-0.463671919,0.158603899
212,Ni2AgGa,5.955906382,-0.084919651,0.181711739
213,Ni2NbSn,6.176438496,-0.230392282,0.062750669
214,Rh2TiAs,6.172048998,-0.497800817,0.265392791
215,Ni2TiPb,6.194504322,-0.146073496,0.205759672
216,Mn2CrSi,5.574582942,-0.326026716,0.010675932
217,Rh2AgSn,6.367955052,-0.270036796,0.035693464
218,Cu2ZrAl,6.192390943,-0.347397948,0.00805762
219,Ir2ScB,5.993648835,-0.129721751,0.647347819
220,Ru2ZrTl,6.532617118,-0.090453569,0.231060304
221,Ni2ScSi,5.910344774,-0.64746581,0.140704419
222,Ir2TiB,5.914513727,-0.102762228,0.688247682
223,Ag2HfAl,6.516894904,-0.08747298,0.116194241
224,Pd2ZrPb,6.679488768,-0.500313233,0.104803357
225,Ti2CoSi,6.065591458,-0.413499761,0.280260462
226,Co2TaAs,5.954056505,-0.015826601,0.359979326
227,Ni2TiB,5.535270849,-0.163369143,0.496842571
228,Os2NbSi,6.180919488,-0.107223774,0.324327604
