,adss,Gads,adsb,slab,bulk,Csite,Cadsb
0,Pt2CuIn_NH_0_1h,0.52316473,Pt2CuIn_NH_0_1h,Pt2CuIn_NH_0_1h,Pt2CuIn,2,2
1,Ru2ZrGe_NNHh_0_1c,0.340559155,Ru2ZrGe_NNHh_0_1c,Ru2ZrGe_NNHh_0_1c,Ru2ZrGe,3,1
2,Ru2CuGe_NH_0_2t,2.46738997,Ru2CuGe_NH_0_2t,Ru2CuGe_NH_0_2t,Ru2CuGe,0,2
3,Pd2AgAs_NNHh_0_1c,1.754839435,Pd2AgAs_NNHh_0_1c,Pd2AgAs_NNHh_0_1c,Pd2AgAs,3,1
4,Rh2CuPb_N2h_0_1c,-0.25567351,Rh2CuPb_N2h_0_1c,Rh2CuPb_N2h_0_1c,Rh2CuPb,3,0
5,Mn2CrSi_NNHh_0_2c,1.137900315,Mn2CrSi_NNHh_0_2c,Mn2CrSi_NNHh_0_2c,Mn2CrSi,3,1
6,Pt2ScGa_NNHv_0_3t,3.446179125,Pt2ScGa_NNHv_0_3t,Pt2ScGa_NNHv_0_3t,Pt2ScGa,0,1
7,Sc2MoZn_N2h_0_1c,0.09709112,Sc2MoZn_N2h_0_1c,Sc2MoZn_N2h_0_1c,Sc2MoZn,3,0
8,Pd2AgSn_NH2_0_1t,0.923972845,Pd2AgSn_NH2_0_1t,Pd2AgSn_NH2_0_1t,Pd2AgSn,0,3
9,Ru2MoGa_NH2_45_1c,-0.030318645,Ru2MoGa_NH2_45_1c,Ru2MoGa_NH2_45_1c,Ru2MoGa,3,3
10,Pd2ZrZn_NH2_45_3t,0.131862775,Pd2ZrZn_NH2_45_3t,Pd2ZrZn_NH2_45_3t,Pd2ZrZn,0,3
11,Ru2MoAl_N2v_0_1t,-0.3634814,Ru2MoAl_N2v_0_1t,Ru2MoAl_N2v_0_1t,Ru2MoAl,0,0
12,Rh2NbAl_NH2_45_1c,-0.713568835,Rh2NbAl_NH2_45_1c,Rh2NbAl_NH2_45_1c,Rh2NbAl,3,3
13,Rh2TiGa_NH_0_2t,-0.08451426,Rh2TiGa_NH_0_2t,Rh2TiGa_NH_0_2t,Rh2TiGa,0,2
14,Ru2NbSn_NNHh_90_1c,0.088561555,Ru2NbSn_NNHh_90_1c,Ru2NbSn_NNHh_90_1c,Ru2NbSn,3,1
15,Rh2ZrSb_N2h_90_1c,-0.24774964,Rh2ZrSb_N2h_90_1c,Rh2ZrSb_N2h_90_1c,Rh2ZrSb,3,0
16,Rh2YPb_H_0_2c,0.801451835,Rh2YPb_H_0_2c,Rh2YPb_H_0_2c,Rh2YPb,3,4
17,Ru2PtAl_N2h_0_1c,0.30637729,Ru2PtAl_N2h_0_1c,Ru2PtAl_N2h_0_1c,Ru2PtAl,3,0
18,Ru2ScAl_NH_0_1t,0.34305965,Ru2ScAl_NH_0_1t,Ru2ScAl_NH_0_1t,Ru2ScAl,0,2
19,Ti2CuGa_N2h_90_1c,-0.51337166,Ti2CuGa_N2h_90_1c,Ti2CuGa_N2h_90_1c,Ti2CuGa,3,0
20,Os2TiGa_NH2_45_1c,-0.818107235,Os2TiGa_NH2_45_1c,Os2TiGa_NH2_45_1c,Os2TiGa,3,3
21,Rh2ScIn_NNHv_0_2t,2.463550065,Rh2ScIn_NNHv_0_2t,Rh2ScIn_NNHv_0_2t,Rh2ScIn,0,1
22,Pt2ZrAl_NH_0_2t,-0.38417263,Pt2ZrAl_NH_0_2t,Pt2ZrAl_NH_0_2t,Pt2ZrAl,0,2
23,Ti2MoGa_NNHh_0_2c,0.565013635,Ti2MoGa_NNHh_0_2c,Ti2MoGa_NNHh_0_2c,Ti2MoGa,3,1
24,Pd2TiGa_NH_0_2t,-0.67043315,Pd2TiGa_NH_0_2t,Pd2TiGa_NH_0_2t,Pd2TiGa,0,2
25,Sc2RuTl_N2h_0_1c,0.35378322,Sc2RuTl_N2h_0_1c,Sc2RuTl_N2h_0_1c,Sc2RuTl,3,0
26,Pt2HfIn_NH_0_1c,-0.85908147,Pt2HfIn_NH_0_1c,Pt2HfIn_NH_0_1c,Pt2HfIn,3,2
27,Pt2CoAl_NNHh_90_3c,2.328695965,Pt2CoAl_NNHh_90_3c,Pt2CoAl_NNHh_90_3c,Pt2CoAl,3,1
28,Ti2MoGa_NNHv_0_2t,1.291583505,Ti2MoGa_NNHv_0_2t,Ti2MoGa_NNHv_0_2t,Ti2MoGa,0,1
29,Ni2PtAl_NH2_45_3t,-0.705662565,Ni2PtAl_NH2_45_3t,Ni2PtAl_NH2_45_3t,Ni2PtAl,0,3
30,Ti2AgAl_N2h_0_1c,-0.26535716,Ti2AgAl_N2h_0_1c,Ti2AgAl_N2h_0_1c,Ti2AgAl,3,0
31,Cu2YSn_NNHv_0_2t,2.291482955,Cu2YSn_NNHv_0_2t,Cu2YSn_NNHv_0_2t,Cu2YSn,0,1
32,Rh2HfPb_NH2_0_2t,-1.184477495,Rh2HfPb_NH2_0_2t,Rh2HfPb_NH2_0_2t,Rh2HfPb,0,3
33,Ru2ScGe_N2v_0_2t,0.04104953,Ru2ScGe_N2v_0_2t,Ru2ScGe_N2v_0_2t,Ru2ScGe,0,0
34,Rh2TaIn_NH_0_1c,-1.19719913,Rh2TaIn_NH_0_1c,Rh2TaIn_NH_0_1c,Rh2TaIn,3,2
35,Ru2HfTl_NH2_45_1b,-0.938078545,Ru2HfTl_NH2_45_1b,Ru2HfTl_NH2_45_1b,Ru2HfTl,1,3
36,Ir2ZrAl_NH_0_2h,-1.33411773,Ir2ZrAl_NH_0_2h,Ir2ZrAl_NH_0_2h,Ir2ZrAl,2,2
37,Ru2HfIn_NNHh_0_1c,0.038263165,Ru2HfIn_NNHh_0_1c,Ru2HfIn_NNHh_0_1c,Ru2HfIn,3,1
38,Ru2TaAl_NH2_45_3t,-0.072556735,Ru2TaAl_NH2_45_3t,Ru2TaAl_NH2_45_3t,Ru2TaAl,0,3
39,Ru2ScAl_NH2_45_1b,-0.828081665,Ru2ScAl_NH2_45_1b,Ru2ScAl_NH2_45_1b,Ru2ScAl,1,3
40,Ru2ZrGe_NH2_0_2t,-0.691914695,Ru2ZrGe_NH2_0_2t,Ru2ZrGe_NH2_0_2t,Ru2ZrGe,0,3
41,Ru2NiAs_N2h_90_1c,0.05198246,Ru2NiAs_N2h_90_1c,Ru2NiAs_N2h_90_1c,Ru2NiAs,3,0
42,Pt2NbAl_N2v_0_2t,-0.62394436,Pt2NbAl_N2v_0_2t,Pt2NbAl_N2v_0_2t,Pt2NbAl,0,0
43,Ti2NbZn_NNHh_90_1c,-2.309879405,Ti2NbZn_NNHh_90_1c,Ti2NbZn_NNHh_90_1c,Ti2NbZn,3,1
44,Ni2VAl_NH2_45_3t,-0.779707435,Ni2VAl_NH2_45_3t,Ni2VAl_NH2_45_3t,Ni2VAl,0,3
45,Rh2AgSb_NH2_45_1c,0.029291855,Rh2AgSb_NH2_45_1c,Rh2AgSb_NH2_45_1c,Rh2AgSb,3,3
46,Ti2TaSb_NH2_45_1c,-1.277866435,Ti2TaSb_NH2_45_1c,Ti2TaSb_NH2_45_1c,Ti2TaSb,3,3
47,Pd2TaAl_NH2_45_1c,-1.170372215,Pd2TaAl_NH2_45_1c,Pd2TaAl_NH2_45_1c,Pd2TaAl,3,3
48,Sc2AgGe_NNHv_0_1t,1.988802235,Sc2AgGe_NNHv_0_1t,Sc2AgGe_NNHv_0_1t,Sc2AgGe,0,1
49,Ru2HfAl_NH_0_3t,0.43677871,Ru2HfAl_NH_0_3t,Ru2HfAl_NH_0_3t,Ru2HfAl,0,2
50,Ir2NbZn_NH_0_1c,-1.10901758,Ir2NbZn_NH_0_1c,Ir2NbZn_NH_0_1c,Ir2NbZn,3,2
51,Ru2HfTl_NH_0_2t,0.75762551,Ru2HfTl_NH_0_2t,Ru2HfTl_NH_0_2t,Ru2HfTl,0,2
52,Ru2MoAl_N2v_0_2t,-0.58157819,Ru2MoAl_N2v_0_2t,Ru2MoAl_N2v_0_2t,Ru2MoAl,0,0
53,Ru2HfGe_NH2_0_2t,-0.860593105,Ru2HfGe_NH2_0_2t,Ru2HfGe_NH2_0_2t,Ru2HfGe,0,3
54,Sc2CuSi_NH2_45_3c,-1.842979745,Sc2CuSi_NH2_45_3c,Sc2CuSi_NH2_45_3c,Sc2CuSi,3,3
55,Ti2CrSn_NH2_45_1c,-1.518997085,Ti2CrSn_NH2_45_1c,Ti2CrSn_NH2_45_1c,Ti2CrSn,3,3
56,Os2ZrSn_NH2_0_2t,-0.480867185,Os2ZrSn_NH2_0_2t,Os2ZrSn_NH2_0_2t,Os2ZrSn,0,3
57,Pd2ScGa_NNHv_0_2t,2.410964985,Pd2ScGa_NNHv_0_2t,Pd2ScGa_NNHv_0_2t,Pd2ScGa,0,1
58,Rh2NbZn_NH_0_2t,-0.70248491,Rh2NbZn_NH_0_2t,Rh2NbZn_NH_0_2t,Rh2NbZn,0,2
59,Rh2CuBi_N2v_0_2t,0.15228729,Rh2CuBi_N2v_0_2t,Rh2CuBi_N2v_0_2t,Rh2CuBi,0,0
60,Os2HfGa_H_0_1c,-0.739984005,Os2HfGa_H_0_1c,Os2HfGa_H_0_1c,Os2HfGa,3,4
61,Ir2TaAl_NNHh_0_1c,1.983983935,Ir2TaAl_NNHh_0_1c,Ir2TaAl_NNHh_0_1c,Ir2TaAl,3,1
62,V2HfSi_NNHv_0_2t,2.026468575,V2HfSi_NNHv_0_2t,V2HfSi_NNHv_0_2t,V2HfSi,0,1
63,Ti2VSi_N2h_90_1c,-3.03880541,Ti2VSi_N2h_90_1c,Ti2VSi_N2h_90_1c,Ti2VSi,3,0
64,Ru2VZn_N2v_0_2t,-0.06320062,Ru2VZn_N2v_0_2t,Ru2VZn_N2v_0_2t,Ru2VZn,0,0
65,Rh2HfAl_NH_0_1h,-0.59561161,Rh2HfAl_NH_0_1h,Rh2HfAl_NH_0_1h,Rh2HfAl,2,2
66,Mn2WSi_NH_0_2t,-0.46081968,Mn2WSi_NH_0_2t,Mn2WSi_NH_0_2t,Mn2WSi,0,2
67,Ni2CuAl_NH2_45_3c,-0.483123365,Ni2CuAl_NH2_45_3c,Ni2CuAl_NH2_45_3c,Ni2CuAl,3,3
68,Ti2AgAl_N2h_90_1c,-0.18681594,Ti2AgAl_N2h_90_1c,Ti2AgAl_N2h_90_1c,Ti2AgAl,3,0
69,Rh2ZrGa_N2h_90_3c,1.54661417,Rh2ZrGa_N2h_90_3c,Rh2ZrGa_N2h_90_3c,Rh2ZrGa,3,0
70,Au2HfZn_NH_0_2t,-0.81158814,Au2HfZn_NH_0_2t,Au2HfZn_NH_0_2t,Au2HfZn,0,2
71,Ir2TiSb_NH_0_2t,-1.16681286,Ir2TiSb_NH_0_2t,Ir2TiSb_NH_0_2t,Ir2TiSb,0,2
72,Rh2HfSi_N2v_0_2t,-0.35257874,Rh2HfSi_N2v_0_2t,Rh2HfSi_N2v_0_2t,Rh2HfSi,0,0
73,Rh2HfAl_N2v_0_1t,0.18015643,Rh2HfAl_N2v_0_1t,Rh2HfAl_N2v_0_1t,Rh2HfAl,0,0
74,Rh2TaGe_NH_0_2t,-1.70738802,Rh2TaGe_NH_0_2t,Rh2TaGe_NH_0_2t,Rh2TaGe,0,2
75,Au2ZrPb_NNHv_0_2t,1.612861375,Au2ZrPb_NNHv_0_2t,Au2ZrPb_NNHv_0_2t,Au2ZrPb,0,1
76,Ti2ZrSb_N2h_0_3c,0.01495699,Ti2ZrSb_N2h_0_3c,Ti2ZrSb_N2h_0_3c,Ti2ZrSb,3,0
77,Au2NiIn_NH_0_2t,1.61088998,Au2NiIn_NH_0_2t,Au2NiIn_NH_0_2t,Au2NiIn,0,2
78,Rh2YZn_NH_0_2t,2.09635827,Rh2YZn_NH_0_2t,Rh2YZn_NH_0_2t,Rh2YZn,0,2
79,Pd2TaAl_NNHv_0_3t,2.515813285,Pd2TaAl_NNHv_0_3t,Pd2TaAl_NNHv_0_3t,Pd2TaAl,0,1
80,Ru2VAl_NH2_0_1t,-0.186043215,Ru2VAl_NH2_0_1t,Ru2VAl_NH2_0_1t,Ru2VAl,0,3
81,Au2TiAl_N2v_0_3t,0.38816639,Au2TiAl_N2v_0_3t,Au2TiAl_N2v_0_3t,Au2TiAl,0,0
82,Ti2NbSi_NH_0_3t,0.10157556,Ti2NbSi_NH_0_3t,Ti2NbSi_NH_0_3t,Ti2NbSi,0,2
83,Ti2HfSn_NNHv_0_2t,1.604417025,Ti2HfSn_NNHv_0_2t,Ti2HfSn_NNHv_0_2t,Ti2HfSn,0,1
84,Rh2CuAs_NH_0_1h,-0.00506033,Rh2CuAs_NH_0_1h,Rh2CuAs_NH_0_1h,Rh2CuAs,2,2
85,Ru2ScSi_NH_0_2t,1.87802474,Ru2ScSi_NH_0_2t,Ru2ScSi_NH_0_2t,Ru2ScSi,0,2
86,Ru2HfPb_NNHv_0_2t,2.130489835,Ru2HfPb_NNHv_0_2t,Ru2HfPb_NNHv_0_2t,Ru2HfPb,0,1
87,Rh2ZrIn_NH2_45_1b,-0.965847055,Rh2ZrIn_NH2_45_1b,Rh2ZrIn_NH2_45_1b,Rh2ZrIn,1,3
88,Sc2AgGe_N2v_0_1t,-0.20159177,Sc2AgGe_N2v_0_1t,Sc2AgGe_N2v_0_1t,Sc2AgGe,0,0
89,Pt2NiAl_NH_0_1h,0.01374103,Pt2NiAl_NH_0_1h,Pt2NiAl_NH_0_1h,Pt2NiAl,2,2
90,Ti2MoSi_H_0_1h,-0.902264215,Ti2MoSi_H_0_1h,Ti2MoSi_H_0_1h,Ti2MoSi,2,4
91,Pd2NbAl_H_0_2c,-0.202033085,Pd2NbAl_H_0_2c,Pd2NbAl_H_0_2c,Pd2NbAl,3,4
92,Sc2CuGa_NH_0_2t,0.26164795,Sc2CuGa_NH_0_2t,Sc2CuGa_NH_0_2t,Sc2CuGa,0,2
93,Rh2ScSn_NH2_45_1c,-0.368694525,Rh2ScSn_NH2_45_1c,Rh2ScSn_NH2_45_1c,Rh2ScSn,3,3
94,Pt2ScSb_NNHv_0_2t,2.390054015,Pt2ScSb_NNHv_0_2t,Pt2ScSb_NNHv_0_2t,Pt2ScSb,0,1
95,Ru2PtGa_NH2_0_1t,-0.089821785,Ru2PtGa_NH2_0_1t,Ru2PtGa_NH2_0_1t,Ru2PtGa,0,3
96,Rh2NbGa_NNHv_0_2t,1.307383695,Rh2NbGa_NNHv_0_2t,Rh2NbGa_NNHv_0_2t,Rh2NbGa,0,1
97,Rh2WAl_NH_0_3h,-0.01401513,Rh2WAl_NH_0_3h,Rh2WAl_NH_0_3h,Rh2WAl,2,2
98,Au2YSb_H_0_1c,-0.015785585,Au2YSb_H_0_1c,Au2YSb_H_0_1c,Au2YSb,3,4
99,Sc2MoAs_NH_0_1h,-2.17509443,Sc2MoAs_NH_0_1h,Sc2MoAs_NH_0_1h,Sc2MoAs,2,2
100,Ni2YTl_N2h_90_1c,-0.88168173,Ni2YTl_N2h_90_1c,Ni2YTl_N2h_90_1c,Ni2YTl,3,0
101,Sc2RuAl_NH2_0_2t,-0.204282775,Sc2RuAl_NH2_0_2t,Sc2RuAl_NH2_0_2t,Sc2RuAl,0,3
102,Ti2VAs_H_0_1h,-0.954018065,Ti2VAs_H_0_1h,Ti2VAs_H_0_1h,Ti2VAs,2,4
103,Ni2CuSi_NH_0_3t,1.01051884,Ni2CuSi_NH_0_3t,Ni2CuSi_NH_0_3t,Ni2CuSi,0,2
104,Os2HfIn_N2h_0_1c,-0.48338131,Os2HfIn_N2h_0_1c,Os2HfIn_N2h_0_1c,Os2HfIn,3,0
105,Ni2HfGa_NNHv_0_3t,3.455813185,Ni2HfGa_NNHv_0_3t,Ni2HfGa_NNHv_0_3t,Ni2HfGa,0,1
106,Rh2TiSb_NNHh_90_1c,-0.417495495,Rh2TiSb_NNHh_90_1c,Rh2TiSb_NNHh_90_1c,Rh2TiSb,3,1
107,Pd2TiTl_NH2_0_2t,-1.332031095,Pd2TiTl_NH2_0_2t,Pd2TiTl_NH2_0_2t,Pd2TiTl,0,3
108,Ti2CrSi_NH2_0_2t,-0.914240855,Ti2CrSi_NH2_0_2t,Ti2CrSi_NH2_0_2t,Ti2CrSi,0,3
109,Os2NbGa_N2h_90_1c,-0.4495711,Os2NbGa_N2h_90_1c,Os2NbGa_N2h_90_1c,Os2NbGa,3,0
